ticker,target_date,label,sentiment_score,negative_share,positive_share,neutral_share,article_count,return,market_return,expected_return,abnormal_return,event_rows,log_article_count
ITA,2022-10-18,neutral,0.0,0.0,0.0,1.0,1,3.0129741452029237,1.1421995926185295,1.1532191271575942,1.8597550180453295,1,0.6931471805599453
ITA,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,-4.89158002020114,-3.3572947267802746,-5.656225422351243,0.7646454021501032,1,0.6931471805599453
ITA,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-3.7944931564123365,-0.4359493810874788,-1.235119909294663,-2.5593732471176738,1,0.6931471805599453
ITA,2022-10-27,positive,0.5,0.0,0.5,0.5,2,5.899834076195576,3.4287037485669907,4.613568703559083,1.2862653726364934,2,1.0986122886681098
ITA,2022-10-31,neutral,0.0,0.0,0.0,1.0,2,-5.236798551731592,0.056439450727031965,-0.48994851690443136,-4.746850034827161,2,1.0986122886681098
KBC,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,-0.2209945650802733,-0.971887485170393,-1.2172832705602659,0.9962887054799926,1,0.6931471805599453
LHG,2022-10-04,neutral,0.0,0.0,0.0,1.0,1,-3.715425964725088,-0.766896181146886,-1.372360339908755,-2.343065624816333,1,0.6931471805599453
LHG,2022-10-19,neutral,0.0,0.0,0.0,1.0,1,-7.022667793587988,-0.3380847301222812,-0.6902240420297863,-6.332443751558202,1,0.6931471805599453
LPB,2022-10-11,neutral,0.0,0.0,0.0,1.0,1,-7.246630325282097,-3.5421630779432305,-5.129950092431327,-2.1166802328507703,1,0.6931471805599453
LPB,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-6.820825002653369,-3.7179432686273985,-5.383997787081209,-1.4368272155721602,1,0.6931471805599453
LPB,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,6.716664354384072,1.1644157069949188,1.6722696875548015,5.0443946668292705,1,0.6931471805599453
LPB,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,3.481976515922791,-0.4359493810874788,-0.6406704659576579,4.1226469818804485,1,0.6931471805599453
MBS,2022-10-03,neutral,0.0,0.0,0.0,1.0,1,-10.30048019653672,-4.117685220911394,-8.802070429321706,-1.4984097672150138,1,0.6931471805599453
MBS,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-5.399930724940005,-2.7301377138083933,-5.79513854590148,0.3952078209614749,1,0.6931471805599453
MBS,2022-10-10,positive,1.0,0.0,1.0,0.0,1,5.844956960356854,0.6322222377736505,1.4913776203495526,4.353579340007302,1,0.6931471805599453
MBS,2022-10-21,positive,1.0,0.0,1.0,0.0,1,-9.964312389553028,-3.7179432686273985,-7.935796074526468,-2.0285163150265593,1,0.6931471805599453
MBS,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,-10.211292712707733,-3.3572947267802746,-7.154240420656788,-3.057052292050945,1,0.6931471805599453
MBS,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,2.99470763679521,0.056439450727031965,0.24360800422316614,2.7510996325720436,1,0.6931471805599453
MSH,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-5.6045335050603855,-3.7179432686273985,-4.938907870881086,-0.6656256341792997,1,0.6931471805599453
MWG,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,-1.694357512652941,-0.971887485170393,-1.1347736100754473,-0.5595839025774938,1,0.6931471805599453
MWG,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-3.0611572958986955,0.056439450727031965,0.13272806787391694,-3.1938853637726123,1,0.6931471805599453
NKG,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-7.142300634024338,0.056439450727031965,-0.08243641904553209,-7.059864214978806,1,0.6931471805599453
NVL,2022-10-07,neutral,0.0,0.0,0.0,1.0,1,-1.5096660890170357,-3.659378275894115,-1.418849319876848,-0.09081676914018777,1,0.6931471805599453
NVL,2022-10-12,neutral,0.0,0.0,0.0,1.0,1,1.3215112390739183,2.803697591109357,1.3004504860280135,0.021060753045904823,1,0.6931471805599453
OCB,2022-10-03,negative,-1.0,1.0,0.0,0.0,1,-6.361444899419298,-4.117685220911394,-4.964709639703547,-1.3967352597157507,1,0.6931471805599453
OCB,2022-10-17,neutral,0.0,0.0,0.0,1.0,2,0.7067167223092353,-0.971887485170393,-1.3227291533873642,2.0294458756965996,2,1.0986122886681098
OCB,2022-10-19,neutral,0.0,0.0,0.0,1.0,1,0.0,-0.3380847301222812,-0.58895748083737,0.58895748083737,1,0.6931471805599453
OCB,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,-1.9452425926815404,-0.0632489548518375,-0.2707722017571941,-1.6744703909243464,1,0.6931471805599453
OCB,2022-10-31,neutral,0.0,0.0,0.0,1.0,2,0.0,0.056439450727031965,-0.13220549334996665,0.13220549334996665,2,1.0986122886681098
PNJ,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,0.10735374085241853,1.1644157069949188,1.600065155175197,-1.4927114143227784,1,0.6931471805599453
POW,2022-10-11,neutral,0.0,0.0,0.0,1.0,1,-7.056396371899251,-3.5421630779432305,-4.612693238531951,-2.4437031333673005,1,0.6931471805599453
POW,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,-0.4656585829950861,-0.0632489548518375,0.014520915055391187,-0.4801794980504773,1,0.6931471805599453
POW,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,0.0,0.056439450727031965,0.17371538342091503,-0.17371538342091503,1,0.6931471805599453
PVD,2022-10-17,positive,1.0,0.0,1.0,0.0,1,6.729363573399176,-0.971887485170393,-1.349452430550281,8.078816003949457,1,0.6931471805599453
REE,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,3.4812068203758533,0.6322222377736505,1.4288212479247893,2.052385572451064,1,0.6931471805599453
REE,2022-10-17,positive,1.0,0.0,1.0,0.0,1,3.1726145738887204,-0.971887485170393,-1.316987072687497,4.489601646576217,1,0.6931471805599453
REE,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-1.0071522069749905,0.056439450727031965,0.44323457331980826,-1.4503867802947987,1,0.6931471805599453
SAB,2022-10-21,neutral,0.0,0.0,0.0,1.0,2,0.8912466736820859,-3.7179432686273985,-1.5089666522737524,2.4002133259558383,2,1.0986122886681098
SAB,2022-10-25,negative,-1.0,1.0,0.0,0.0,1,3.686384612468961,1.1644157069949188,0.7274777158945829,2.958906896574378,1,0.6931471805599453
SAB,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,-0.9587252370834324,-0.0632489548518375,0.1651258419960642,-1.1238510790794967,1,0.6931471805599453
SHB,2022-10-03,neutral,0.0,0.0,0.0,1.0,1,-4.609110720026697,-4.117685220911394,-5.852260491955623,1.243149771928926,1,0.6931471805599453
SHB,2022-10-11,neutral,0.0,0.0,0.0,1.0,1,-7.097896945858088,-3.5421630779432305,-5.0404753736680314,-2.057421572190057,1,0.6931471805599453
SHB,2022-10-17,neutral,0.0,0.0,0.0,1.0,2,4.489531990789095,-0.971887485170393,-1.4150519184557653,5.9045839092448595,2,1.0986122886681098
SHB,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-5.675281659244937,-3.7179432686273985,-5.288416733754079,-0.38686492549085827,1,0.6931471805599453
SHB,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,-3.5286855089716256,-3.3572947267802746,-4.779714987382158,1.251029478410532,1,0.6931471805599453
SHB,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-0.8904778342959722,-0.4359493810874788,-0.6591008529172796,-0.23137698137869256,1,0.6931471805599453
SHB,2022-10-28,negative,-1.0,1.0,0.0,0.0,1,-1.351371916672282,-0.0632489548518375,-0.1333996904265215,-1.2179722262457604,1,0.6931471805599453
SSI,2022-10-04,neutral,0.0,0.0,0.0,1.0,1,-3.5091319811270063,-0.766896181146886,-1.277916891136104,-2.2312150899909025,1,0.6931471805599453
